gene_id,gene_name,log2FC_3mo,log2FC_18mo,qvalue_18mo,sig_at_18mo,direction_18mo
ENSDARG00000000019,ube2h,0.2018,0.2003,0.250363,False,not_significant
ENSDARG00000000018,nrf1,0.052,-0.9371,0.004652,False,not_significant
ENSDARG00000019328,plxna4,0.0838,0.6565,0.106573,False,not_significant
ENSDARG00000032919,chchd3a,0.0647,0.79,0.000851,False,not_significant
ENSDARG00000004336,exoc4,0.2368,0.3119,0.107954,False,not_significant
ENSDARG00000069698,lrguk,2.9685,-5.1882,0.0,True,down_in_MUT
ENSDARG00000069692,col7a1l,-0.1295,-1.5759,0.031679,True,down_in_MUT
ENSDARG00000093135,si_dkey-117n7.2,0.0211,-3.3629,0.037194,True,down_in_MUT
ENSDARG00000089640,si_dkey-117n7.5,-0.914,-5.2582,0.03359,True,down_in_MUT
ENSDARG00000034823,copg2,0.1709,-0.1109,0.342121,False,not_significant
ENSDARG00000032319,mest,0.189,-0.0228,0.391227,False,not_significant
ENSDARG00000012684,atp2b1a,-0.2246,0.255,0.14969,False,not_significant
ENSDARG00000056954,si_dkeyp-38g8.5,0.096,-0.6931,0.175646,False,not_significant
ENSDARG00000056950,epyc,-0.7225,-0.4157,0.189264,False,not_significant
ENSDARG00000045580,lum,-0.0258,1.2652,0.027526,True,up_in_MUT
ENSDARG00000012066,dcn,-0.2499,1.2013,0.000267,True,up_in_MUT
ENSDARG00000027249,btg1,-0.3209,0.9161,0.000396,False,not_significant
ENSDARG00000020749,caprin2,1.6539,-6.0694,,False,not_significant
ENSDARG00000032653,sinhcaf,-0.3213,0.1701,0.310894,False,not_significant
ENSDARG00000003789,dennd5b,0.2568,-0.333,0.176402,False,not_significant
ENSDARG00000023026,pkp2,0.232,-0.29,0.196976,False,not_significant
ENSDARG00000027316,tcp11l2,-0.7826,1.3178,0.024887,True,up_in_MUT
ENSDARG00000004904,gys2,0.1934,-3.8398,0.000716,True,down_in_MUT
ENSDARG00000093058,STMP1,-0.0137,0.3917,0.101727,False,not_significant
ENSDARG00000022795,golt1ba,0.0778,0.226,0.26898,False,not_significant
ENSDARG00000019644,ldhba,0.4121,0.3906,0.090938,False,not_significant
ENSDARG00000027424,slc25a3a,-0.2175,-0.1165,0.382406,False,not_significant
ENSDARG00000007315,tmpoa,0.3374,-0.9879,0.032742,False,not_significant
ENSDARG00000007405,strap,0.1524,-0.2688,0.124252,False,not_significant
ENSDARG00000019420,etnk1,-0.4868,0.5529,0.05883,False,not_significant
ENSDARG00000011582,sox5,0.2028,-1.137,0.000399,True,down_in_MUT
ENSDARG00000016815,casc1,3.7187,-5.609,0.0,True,down_in_MUT
ENSDARG00000045574,lrmp,1.8977,-3.2038,0.0,True,down_in_MUT
ENSDARG00000045568,bcat1,0.7421,-2.6325,0.000397,True,down_in_MUT
ENSDARG00000094132,igf1,-0.1974,-0.4095,0.288867,False,not_significant
ENSDARG00000094191,nup37,0.4981,-1.0337,0.002677,True,down_in_MUT
ENSDARG00000029944,parpbp,2.5024,-4.68,0.0,True,down_in_MUT
ENSDARG00000020143,pah,1.5782,0.0878,0.378976,False,not_significant
ENSDARG00000007175,recql,0.3858,-0.8293,0.02232,False,not_significant
ENSDARG00000002174,itfg2,0.1473,-0.1043,0.31141,False,not_significant
ENSDARG00000079985,nrip2,-0.2122,1.4373,0.004154,True,up_in_MUT
ENSDARG00000006011,klhl42,0.9043,-2.0564,0.000479,True,down_in_MUT
ENSDARG00000002128,cwf19l1,0.0054,-0.4533,0.151351,False,not_significant
ENSDARG00000045563,washc3,-0.2422,0.5585,0.070969,False,not_significant
ENSDARG00000045561,dram1,0.532,0.1634,0.30875,False,not_significant
ENSDARG00000030153,gnptab,0.1491,0.493,0.021542,False,not_significant
ENSDARG00000014572,chpt1,-0.229,0.2961,0.141968,False,not_significant
ENSDARG00000045560,mybpc1,-0.4017,0.7079,0.087207,False,not_significant
ENSDARG00000016886,dnajb9b,-0.0722,0.0896,0.367642,False,not_significant
ENSDARG00000021239,apaf1,0.5859,-1.2679,0.00169,True,down_in_MUT
ENSDARG00000003512,anks1b,-0.2657,0.5254,0.042957,False,not_significant
ENSDARG00000004055,uhrf1bp1l,-0.26,0.4307,0.046215,False,not_significant
ENSDARG00000015278,plxnc1,-0.297,0.9387,0.012296,False,not_significant
ENSDARG00000028192,cradd,0.5617,-0.1211,0.35472,False,not_significant
ENSDARG00000045557,socs2,-0.3228,-0.2234,0.306325,False,not_significant
ENSDARG00000033757,ncaph2,1.3102,-2.6264,0.0,True,down_in_MUT
ENSDARG00000005547,rint1,0.119,-0.1927,0.276506,False,not_significant
ENSDARG00000029018,cdkn1ba,-0.0168,0.4707,0.047093,False,not_significant
ENSDARG00000095705,CDPF1,-0.2372,0.5325,0.100753,False,not_significant
ENSDARG00000031777,pparaa,-0.0709,0.047,0.374087,False,not_significant
ENSDARG00000008439,atxn10,1.1625,-0.221,0.263186,False,not_significant
ENSDARG00000034717,def6c,0.4574,-0.0182,0.400166,False,not_significant
ENSDARG00000069431,slc26a4,-0.1313,-1.5908,0.006662,True,down_in_MUT
ENSDARG00000015222,cbll1,0.1702,-0.1966,0.31485,False,not_significant
ENSDARG00000045549,bik,-0.9568,0.1356,0.368752,False,not_significant
ENSDARG00000016613,mcat,-0.1754,-0.6979,0.137267,False,not_significant
ENSDARG00000008867,rap1b,-0.1472,0.8314,0.002431,False,not_significant
ENSDARG00000094428,si_dkey-31f5.8,-0.8393,0.3012,0.327388,False,not_significant
ENSDARG00000029524,impdh1b,0.065,0.0547,0.378244,False,not_significant
ENSDARG00000099812,si_dkey-31f5.11,-0.4304,0.2085,0.238068,False,not_significant
ENSDARG00000006766,snd1,-0.1718,0.4078,0.197,False,not_significant
ENSDARG00000069402,lrrc4.1,0.1456,0.9948,0.067279,False,not_significant
ENSDARG00000045544,hgfa,-0.1907,-1.3108,0.010824,True,down_in_MUT
ENSDARG00000014804,cacna2d1a,-0.4692,1.3942,0.000144,True,up_in_MUT
ENSDARG00000045543,atp6v1f,-0.0824,0.4475,0.121308,False,not_significant
ENSDARG00000045542,lamtor4,-0.2236,0.6164,0.039579,False,not_significant
ENSDARG00000045541,gcc1,0.5702,-0.4532,0.098547,False,not_significant
ENSDARG00000011605,dennd6b,0.6387,-0.7541,0.034327,False,not_significant
ENSDARG00000045540,ppp6r2a,0.9495,-0.3276,0.144123,False,not_significant
ENSDARG00000056152,fam3c,-0.0241,0.2371,0.212384,False,not_significant
ENSDARG00000101236,cep83,0.3714,-0.4992,0.137702,False,not_significant
ENSDARG00000037960,lrrc17,-0.0081,0.7378,0.045234,False,not_significant
ENSDARG00000017163,sinup,-0.0042,-1.7991,0.008896,True,down_in_MUT
ENSDARG00000004794,ccdc146,2.2215,-3.7248,0.0,True,down_in_MUT
ENSDARG00000019861,fgl2a,-0.5957,1.0509,0.025491,True,up_in_MUT
ENSDARG00000045481,gsap,-0.1343,0.0561,0.365187,False,not_significant
ENSDARG00000045482,stk38l,0.044,0.0614,0.370604,False,not_significant
ENSDARG00000103810,cacna2d4a,-0.8257,0.2108,0.361773,False,not_significant
ENSDARG00000045483,lrtm2a,-0.0277,0.883,0.011387,False,not_significant
ENSDARG00000045484,dcp1b,0.1338,-0.1437,0.298174,False,not_significant
ENSDARG00000008398,cacna1c,-0.8764,-0.0419,0.386966,False,not_significant
ENSDARG00000009252,napepld,0.0201,0.5138,0.063865,False,not_significant
ENSDARG00000011764,ints13,-0.1385,0.0727,0.359798,False,not_significant
ENSDARG00000045485,rassf8b,-0.1534,1.3645,0.00032,True,up_in_MUT
ENSDARG00000090038,BX248410.1,0.8855,0.5388,0.253462,False,not_significant
