gene_id,gene_name,q1_log2FC,q1_sig,q2_log2FC,q2_sig,direction,tf_family,biotype
ENSDARG00000055705,f5,-1.942,0.0209987957014763,6.049,0.0003259276736671,OPPOSITE,-,protein_coding
ENSDARG00000078132,tex2l,-3.013,0.0218531537685489,4.32,0.0232837051445647,OPPOSITE,-,protein_coding
ENSDARG00000076043,si_dkeyp-73d8.9,-3.368,0.0221625698849207,8.552,0.0002020146219816,OPPOSITE,-,protein_coding
ENSDARG00000068876,zgc_153031,-2.422,0.0222111565838522,5.048,0.0066328743560356,OPPOSITE,-,protein_coding
ENSDARG00000116774,CABZ01035279.1,2.34,0.0225558311858457,-7.46,0.0030133699716607,OPPOSITE,-,protein_coding
ENSDARG00000007024,uox,-3.64,0.0236189661334952,7.749,1.304010389438354e-05,OPPOSITE,-,protein_coding
ENSDARG00000095751,leg1.2,-4.035,0.0236497926529018,10.094,3.828577486864939e-07,OPPOSITE,-,protein_coding
ENSDARG00000041407,rmdn3,-1.355,0.0241234226670596,1.683,0.0032605786327557,OPPOSITE,-,protein_coding
ENSDARG00000008553,zgc_136872,-2.59,0.0244019256235107,3.448,0.0337176880329386,OPPOSITE,-,protein_coding
ENSDARG00000099509,btr23,-1.615,0.0262249190063997,-2.857,0.006946137080634,SAME,-,protein_coding
ENSDARG00000040777,inhbb,-1.257,0.0269713418764498,-2.117,0.0198936490512892,SAME,-,protein_coding
ENSDARG00000102004,apoea,-3.038,0.0272250356748141,8.089,0.0029495080251332,OPPOSITE,-,protein_coding
ENSDARG00000062688,gpnmb,1.318,0.0274058967708328,3.425,0.0001532699089888,SAME,-,protein_coding
ENSDARG00000117340,CR457444.7,-3.976,0.0274422465464878,4.532,0.0485448390012102,OPPOSITE,-,lincRNA
ENSDARG00000090722,leg1.1,-3.257,0.0293345624311845,11.452,0.0006110529939962,OPPOSITE,-,protein_coding
ENSDARG00000017882,rdh1,-2.209,0.0296324249641196,4.658,0.003876520551493,OPPOSITE,-,protein_coding
ENSDARG00000021172,cyp2ad2,-1.885,0.0298398276609934,5.634,9.479575527047614e-05,OPPOSITE,-,protein_coding
ENSDARG00000069594,kif13a,4.122,0.0301575326452907,1.863,0.0164013279063199,SAME,-,protein_coding
ENSDARG00000053973,fetub,-3.546,0.0312573970741339,11.189,1.068032595545218e-10,OPPOSITE,-,protein_coding
ENSDARG00000057498,habp2,-3.332,0.0312631214020976,8.738,0.0001034219519417,OPPOSITE,-,protein_coding
ENSDARG00000045414,elovl2,-2.558,0.0330684802745477,5.951,0.0001504388340569,OPPOSITE,-,protein_coding
