,q1_activity,q1_pval,age_activity,age_pval,sig_q1,sig_age,sig_both,same_direction
MBD1,0.8962242164123368,0.6837133169174194,-0.0687898625616542,0.9861289262771606,False,False,False,False
HNF4G,0.9004548584492229,0.6837133169174194,2.566427438717547,0.11849422007799149,False,False,False,True
SOX5,0.9009965756441136,0.6837133169174194,0.2482762728764818,0.9463640451431274,False,False,False,True
NR2C2,0.9020251539038644,0.6837133169174194,1.2545189000968,0.6072766184806824,False,False,False,True
MBD2,0.9029543567545972,0.6837133169174194,1.7170277804845695,0.41976457834243774,False,False,False,True
RB1,0.907537429313686,0.6837133169174194,-1.5309312932510584,0.49736422300338745,False,False,False,False
FOXF2,0.9159045202958156,0.6786328554153442,-1.8649575913322096,0.36278119683265686,False,False,False,False
RARB,0.92425185196436,0.6722215414047241,-0.275174404386318,0.9391927123069763,False,False,False,False
MLXIP,0.9331846200741736,0.6652656197547913,-0.1467232802722439,0.9714920520782471,False,False,False,False
SALL2,0.9338693059785292,0.6652656197547913,-1.4382845359719456,0.5231906771659851,False,False,False,False
HOXA9,0.9343895416351766,0.6652656197547913,0.3943931553283622,0.9062198996543884,False,False,False,True
PRDM1,0.9421425826813904,0.6637461185455322,-0.5507368340676222,0.8747797608375549,False,False,False,False
ZNF354C,0.9476526998194787,0.6619887351989746,-1.3348477619586652,0.5825715065002441,False,False,False,False
GFI1,0.9527583125911292,0.660394012928009,-2.0700793386347183,0.2886895537376404,False,False,False,False
HOXB5,0.9548533684495588,0.660394012928009,-0.17215164084979492,0.9688071012496948,False,False,False,False
NR1H3,0.9550694978186868,0.660394012928009,5.351062557636834,1.2411074749252293e-05,False,True,False,True
BHLHA15,0.9568195858971263,0.660394012928009,0.05646418009851605,0.9887776970863342,False,False,False,True
HOXD13,0.96086189656404,0.6600399017333984,1.1192723560070856,0.6695696115493774,False,False,False,True
NFIA,0.963982896436508,0.6588180065155029,2.296138443914126,0.19656042754650116,False,False,False,True
SIRT1,0.965416867967474,0.6588180065155029,-0.35535293372971427,0.9141597747802734,False,False,False,False
POU2F1,0.9733148616670704,0.6533412933349609,-1.5992600456354353,0.4789450466632843,False,False,False,False
KAT6A,0.9756302530270896,0.652918815612793,-0.5190046376846634,0.8830636143684387,False,False,False,False
DMTF1,0.9781292596704748,0.65231853723526,-0.3003011346181563,0.9306084513664246,False,False,False,False
NR0B1,0.9893399503168888,0.644940197467804,0.8664110123955924,0.759790301322937,False,False,False,True
TSC22D1,0.9913392169757332,0.644940197467804,-0.4995711379226572,0.8830636143684387,False,False,False,False
ATF7,1.0031329839207532,0.6408109664916992,-0.8091164481331554,0.7884209752082825,False,False,False,False
RXRA,1.0152019771037002,0.630902886390686,3.559737151199075,0.010834531858563423,False,True,False,True
NKX3-1,1.0200960224950495,0.6279993057250977,-1.8342116425746644,0.37214645743370056,False,False,False,False
RORC,1.0341877912189352,0.6162610650062561,0.08746408749943728,0.9764693975448608,False,False,False,True
NR1I3,1.035311038507941,0.6162610650062561,5.551278852735146,5.044327281211736e-06,False,True,False,True
FOSB,1.0379942039871692,0.6162409782409668,0.5536788316969729,0.8747797608375549,False,False,False,True
PLAG1,1.0411617310452164,0.6150239109992981,0.06375257866239818,0.9873612523078918,False,False,False,True
THRB,1.0421767183595405,0.6150239109992981,2.244723733523056,0.21187996864318848,False,False,False,True
NKRF,1.0458211786041212,0.6142042875289917,-1.9309840113255274,0.33646413683891296,False,False,False,False
SREBF2,1.0474937071741053,0.6142042875289917,-1.1552327776093214,0.663276731967926,False,False,False,False
ATF6,1.0528214605783772,0.6111515760421753,0.36402391345640905,0.9136937260627747,False,False,False,True
DNMT3B,1.0652364761944095,0.6029468178749084,-1.7457971321109025,0.4090357720851898,False,False,False,False
KLF13,1.068211119005009,0.6019351482391357,-2.6958566041975454,0.09813477098941803,False,False,False,False
VDR,1.069816275508851,0.6019351482391357,1.5536461567505628,0.4903319776058197,False,False,False,True
HOXA13,1.0737173615177764,0.6003416776657104,0.2350518965990903,0.9463640451431274,False,False,False,True
RFX5,1.0824223612800914,0.5939059257507324,0.29160575479120454,0.9358134865760803,False,False,False,True
GRHL3,1.082737327823695,0.5939059257507324,-1.1586525062891373,0.663276731967926,False,False,False,False
RXRG,1.0860446300675497,0.5939059257507324,-0.0978039033303951,0.9714920520782471,False,False,False,False
PHF5A,1.090338931912186,0.5918692946434021,-0.45899509482422246,0.8949984312057495,False,False,False,False
ZHX2,1.093354049502211,0.5908405780792236,0.42490688996315823,0.9040467739105225,False,False,False,True
ETV6,1.094018075117904,0.5908405780792236,-2.867101835992338,0.07063539326190948,False,False,False,False
NKX3-2,1.1070889309480951,0.5833534002304077,0.7840661883513442,0.7898380756378174,False,False,False,True
PAX2,1.1114139463526391,0.5811079144477844,-0.8873429920039757,0.7564019560813904,False,False,False,False
ARID1A,1.1114549796166326,0.5811079144477844,-1.9593781017634688,0.33646413683891296,False,False,False,False
PHOX2B,1.1135516152308806,0.5811079144477844,0.9138420034870948,0.7517910003662109,False,False,False,True
REST,1.1156066291519284,0.5811079144477844,-1.5771664001395098,0.4885202646255493,False,False,False,False
KLF5,1.1211583414782798,0.5792536735534668,-1.5688758262851985,0.4889094829559326,False,False,False,False
CREB3L3,1.1251777120581803,0.5773108005523682,2.655910031974057,0.10629735141992569,False,False,False,True
ATF5,1.1284575250660205,0.5760663151741028,-1.8846602209884409,0.35495230555534363,False,False,False,False
SIX4,1.1332771659389675,0.5733824968338013,0.3470700545395847,0.914611279964447,False,False,False,True
TEAD2,1.1342385484161406,0.5733824968338013,-3.849212919628328,0.005540171172469854,False,True,False,False
NR4A1,1.1356457151392896,0.5733824968338013,0.1144234860171309,0.9714920520782471,False,False,False,True
ASCL2,1.1475117449748151,0.5674153566360474,0.666200564811124,0.8202223777770996,False,False,False,True
BRD4,1.1527431260058316,0.5643755197525024,-1.0112076903458884,0.7064514756202698,False,False,False,False
MAX,1.1578443754610463,0.5614660978317261,0.8852580731813263,0.7564019560813904,False,False,False,True
POU2F2,1.1686538007567238,0.5533002614974976,-0.27977170025164566,0.9391927123069763,False,False,False,False
MECOM,1.1767274352098085,0.5495041608810425,-0.7365488367387675,0.8015767335891724,False,False,False,False
CEBPA,1.1773787228295671,0.5495041608810425,4.379352878017956,0.000837261148262769,False,True,False,True
WWTR1,1.1794611220951925,0.5495041608810425,-1.585286602076006,0.483569473028183,False,False,False,False
ZGLP1,1.1845308958323195,0.5495041608810425,2.2458609346030705,0.21187996864318848,False,False,False,True
AHR,1.1948083806984895,0.5469216108322144,3.620164335263858,0.010313673876225948,False,True,False,True
PBX1,1.1972015376598937,0.5469216108322144,1.0064038176001773,0.7064514756202698,False,False,False,True
