,activity,pval
ATF6,0.19151608905849873,0.9305615425109863
EP300,0.18023977820451478,0.9356396794319153
ARID1A,0.17781401304562688,0.9361844658851624
MZF1,0.1740918079111593,0.9363070726394653
NR2F2,0.15905284827625993,0.9445118308067322
HHEX,0.15810977072365612,0.9445118308067322
GABPA,0.15728759197728914,0.9445118308067322
MECP2,0.15139518484918507,0.944845974445343
ZBTB7B,0.1495693598835659,0.944845974445343
EBF1,0.14856751296441126,0.944845974445343
ZHX2,0.14789213037082666,0.944845974445343
VHL,0.14717284523616575,0.944845974445343
KLF8,0.14610302573396347,0.944845974445343
TBX3,0.1228933789443896,0.9613773822784424
PBRM1,0.11852081086015774,0.9619896411895752
PPARGC1B,0.1144991637933492,0.962017297744751
IKZF1,0.11369784433254468,0.962017297744751
SMAD7,0.09811969162126928,0.96709144115448
POU3F2,0.0960969019253666,0.96709144115448
TCF4,0.09599164298611221,0.96709144115448
FGF2,0.09122609823714935,0.9680115580558777
NEUROG1,0.0883270304001412,0.968897819519043
KLF10,0.08519939106428787,0.969843327999115
NR2F1,0.08242952476042062,0.969843327999115
CREBZF,0.08169063684943202,0.969843327999115
BATF,0.0791535609183575,0.9704249501228333
DNMT3B,0.06120044508744719,0.9769935607910156
TEF,0.05973902594601824,0.9769935607910156
KMT2A,0.034336034666768774,0.9894616603851318
CREBBP,0.03373191926495647,0.9894616603851318
E2F6,0.03230677255037239,0.9894616603851318
KAT5,0.02997111141687252,0.9894616603851318
SALL4,0.025644319308938818,0.9914507865905762
LRRFIP1,0.022795575419302227,0.992242693901062
BCL11B,0.01861099879511899,0.9932464361190796
DLX1,0.017811383331379816,0.9932464361190796
RORA,0.004641401982323545,0.9977949857711792
ATOH1,0.0025129398001879485,0.9979950189590454
MYBL2,-0.005089176962987924,0.9977949857711792
BCL3,-0.00597020358653591,0.9977949857711792
SFPQ,-0.013563907313459474,0.9951550364494324
HOXB6,-0.030138683779796484,0.9894616603851318
HDAC1,-0.04252939194573527,0.9868213534355164
GLI3,-0.05643391353050458,0.9770016074180603
NKX2-1,-0.05828536817519714,0.9769935607910156
HDAC4,-0.06425094725150489,0.9766333699226379
PRDM2,-0.06692330204195535,0.9759516716003418
ZEB2,-0.06780309554616454,0.9759516716003418
ARID4A,-0.06980675839623793,0.9759516716003418
NFE2L3,-0.09163663956465383,0.9680115580558777
NR1D2,-0.09902367533596701,0.96709144115448
ELF1,-0.10237617241317433,0.96709144115448
ZBTB18,-0.10560977541344246,0.96669602394104
PHOX2B,-0.11302022425689212,0.962017297744751
DLX3,-0.12095451234479215,0.9614752531051636
TTF1,-0.14413689801663307,0.9449885487556458
CREB3L3,-0.1626305161936841,0.9445118308067322
TCF7L2,-0.17443938105146237,0.9363070726394653
ID4,-0.18281548476058065,0.9349653124809265
ZFP42,-0.18860276269539072,0.9315316081047058
SREBF1,-0.2040296635020471,0.9228598475456238
EMX2,-0.20978643001018135,0.9194303750991821
FOXO4,-0.209931237802283,0.9194303750991821
HTATIP2,-0.21269145788181382,0.9194303750991821
ZBTB17,-0.21669349163767712,0.918050229549408
GTF2IRD1,-0.22414959373760687,0.9146599173545837
HINFP,-0.23662706069576836,0.9084814786911011
BCLAF1,-0.24656469482728094,0.9043776392936707
CREM,-0.2504964537225981,0.904010534286499
NEUROD6,-0.25293451120092275,0.9034154415130615
GFI1,-0.2611051694508736,0.9002636671066284
HSF1,-0.26256577139518794,0.9002636671066284
PAX4,-0.26285264081831394,0.9002636671066284
MTF2,-0.2631108891246918,0.9002636671066284
NEUROG3,-0.26734239441879837,0.9002636671066284
TADA2A,-0.27324798295888114,0.9002636671066284
FOXN1,-0.2745178893948326,0.9002636671066284
NCOR2,-0.28303954527966213,0.8966814279556274
NEUROD2,-0.28615689164550157,0.8966814279556274
LHX2,-0.2903544893067805,0.8952128887176514
ZMYND8,-0.29133377061339344,0.8952128887176514
SOX11,-0.29683701242236227,0.8947781324386597
SRSF2,-0.29794738995019443,0.8947781324386597
ELF2,-0.3028201210043989,0.8947781324386597
OVOL1,-0.30289933430475163,0.8947781324386597
MTA1,-0.3119179637116126,0.8933681845664978
HDGF,-0.3119863533832496,0.8933681845664978
SRY,-0.3207942626115024,0.8916199207305908
IRF5,-0.32968883893798256,0.8851839303970337
NFIL3,-0.33881160719163844,0.8801230192184448
GSC,-0.3448941893607603,0.8777973055839539
RCOR2,-0.3482216951743114,0.8763735890388489
FLI1,-0.34939504854650716,0.8763735890388489
MLXIP,-0.3599080515347602,0.8753236532211304
DMTF1,-0.3624992785922008,0.8745642304420471
MYT1,-0.3806343118399301,0.8676266670227051
TCF7,-0.38493186231810333,0.8669072389602661
TGIF1,-0.3850306564437551,0.8669072389602661
TAL1,-0.38782690993723434,0.8669072389602661
TLX1,-0.392702669054051,0.8646121621131897
CREB3L1,-0.40833941716012867,0.8559738993644714
PLAGL2,-0.4126557258795843,0.854322075843811
ASCL1,-0.4134604403103315,0.854322075843811
TRIM28,-0.4182164231881329,0.8530298471450806
IRF1,-0.4193003321571787,0.8530298471450806
CTCFL,-0.4235482724443508,0.8530298471450806
RXRG,-0.44039512505978523,0.848042368888855
NR0B1,-0.4603472483838251,0.8328549265861511
MEOX2,-0.4629539491128524,0.8320543766021729
OLIG2,-0.48370722613709727,0.8144922852516174
KLF2,-0.4867038778503775,0.8133206367492676
VDR,-0.48835865017686947,0.8133206367492676
PPARGC1A,-0.49170928683551196,0.8133206367492676
ISL1,-0.49465510478482205,0.8123528957366943
