,gene_name,log2FC_full,log2FC_reduced,qvalue_full,qvalue_reduced,sig_full,sig_reduced,same_direction
ENSDARG00000041959,cxcr4b,1.91423378521595,2.1930876962529995,0.4007174193212798,0.023674913708711828,False,True,True
ENSDARG00000076075,myh7ba,-1.640610281715516,-1.4060891379789258,0.4010046547279949,0.0008445152208493651,False,True,True
ENSDARG00000056515,spsb1,-1.6216667123225814,-2.5440204366246695,0.40127141203097016,2.2553198849978746e-08,False,True,True
ENSDARG00000086337,si_dkey-102g19.3,1.7715858519933163,2.274332284804387,0.4020586416931748,0.033129605431753105,False,True,True
ENSDARG00000023713,aqp1a.1,-1.6700512407898083,-1.4406812087300747,0.40442157252768557,0.002491702193082549,False,True,True
ENSDARG00000100590,BX649421.1,2.316714854592968,2.5548937505089153,0.4088123365782417,0.019621893926740065,False,True,True
ENSDARG00000117485,FO681323.1,-2.6053401078135967,-3.90038264511499,0.4090961493140421,0.02431281049947675,False,True,True
ENSDARG00000068763,plcg2,1.0081171711213075,1.2949640837652108,0.40957958243235254,0.044598928403938864,False,True,True
ENSDARG00000053800,si_ch211-276c2.4,-1.2086802272251223,-1.0840787772107179,0.40996293907175496,0.006752045244980133,False,True,True
ENSDARG00000014059,cldn5b,-1.5050217139112385,-1.3052451369168026,0.40996293907175496,0.0031691860856899695,False,True,True
ENSDARG00000104968,si_ch211-227e10.1,2.2413868744081458,2.3416351031766496,0.40996293907175496,0.02025020213413767,False,True,True
ENSDARG00000102793,slc16a6a,1.914117331330763,2.3005762607861757,0.41104053503402416,0.0361175298450735,False,True,True
ENSDARG00000101481,rbp5,1.4979807779501637,1.9278374146255681,0.41159315488047893,0.004071612752066167,False,True,True
ENSDARG00000101479,BX908782.2,1.7914520439561485,1.9970203145525691,0.41243256995781347,0.03586169343650787,False,True,True
ENSDARG00000091548,stard9,-1.3394353173637437,-1.1801910219118148,0.4125130153315538,0.01956435236651848,False,True,True
